allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG_2020	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019	insertrows	AVG_Lig_2020	AVG_Disk_Dia_2020	Year
11	NA	west	E2_SIL	E2	SIL	1	10	3	N	120	0	9	4.5	8	6	NA	3.25	NA	NA	13.66666667	0.333333333	0.666666667	0.5	2.333333333	NA	17	5.65	8.5	4.333333333	0.767333333	21	NA	0	0	8.333333333	NA	0.166666667	0.666666667	0.666666667	0.003333333	NA	NA	NA	4	0	10	2.1	0.02	2	0.01	0	0	0.02	0	NA	Average	17	5.65	NA
12	NA	west	E1_SIL	E1	SIL	1	11	3	N	110	0	9	4.6	7	7	NA	3.4	20	7.2	13.66666667	0.033333333	0.666666667	0.166666667	2.333333333	NA	15	5.625	9.5	4.5	0.789333333	20.66666667	NA	1.666666667	0	15	NA	0	0	0	0.006666667	NA	NA	NA	7	0	10	3.1	0	0	0	0	0	0.02	0.01	NA	Average	17.5	6.4125	NA
13	NA	west	E3_SIL	E3	SIL	2	11	4	N	115	0	9	4.9	6	6	NA	1.366666667	13.5	6.25	9.333333333	0.066666667	1.333333333	0.033333333	4	NA	14	5.275	8	3.333333333	0.858333333	21.66666667	NA	3.333333333	0	26.66666667	NA	0	0	0	0	NA	NA	NA	5	0	9	3.5	0.01	2	0	0	0	0.02	0.02	NA	Average	13.75	5.7625	NA
14	NA	west	W3_SIL	W3	SIL	2	10	5	S	115	0	9	6.5	4	5	NA	1.766666667	23.66666667	5.833333333	9.666666667	2.666666667	2.333333333	5.666666667	6.666666667	NA	NA	NA	9.166666667	3.5	0.876666667	5	NA	26.66666667	3.333333333	23.33333333	NA	0.666666667	2	1.666666667	0.233333333	NA	NA	NA	2	0	10	2.1	0.02	2	0	0	0	0	0.02	NA	Average	23.66666667	5.833333333	NA
15	NA	west	C4_SIL	C4	SIL	2	8	5	S	130	0	9	5.2	6	6	NA	1.933333333	19	6.675	9.666666667	2.666666667	2.333333333	15	3.666666667	NA	19	6.05	9.166666667	4.833333333	0.78	22.33333333	NA	10	0	20	NA	0.533333333	2	18.33333333	0	NA	NA	NA	2	0	10	2	0.2	2	0	0	0	0	0	NA	Average	19	6.3625	NA
16	NA	west	E4_SIL	E4	SIL	2	6	5	S	110	1	8	4.5	5	5	NA	1.4	12	6.2	15	7	3	10.66666667	5.333333333	NA	14	5.5	9	3.5	0.915	7.666666667	NA	20	0	40	NA	1.666666667	2.333333333	15	0	NA	NA	NA	1	1	10	1.9	0.01	2	0	0	0	0.01	0.02	NA	Average	13	5.85	NA
17	NA	west	W2_SIL	W2	SIL	2	3	5	S	125	0	9	7	6	6	NA	2.1	36	8.183333333	8.666666667	8.333333333	3.333333333	3	7	NA	NA	NA	8.5	3.833333333	0.894333333	6.333333333	NA	26.66666667	10	53.33333333	NA	2.166666667	2.666666667	3	0.533333333	NA	NA	NA	1	0	9	1.9	0.02	2	0	0.01	0	0	0	NA	Average	36	8.183333333	NA
18	NA	west	C2_SIL	C2	SIL	2	1	6	N	135	0	9	4.7	8	7	NA	2.816666667	18	6.425	8.666666667	1.033333333	2	5.2	1.666666667	NA	23	6.2	9.5	5.333333333	0.884333333	14	NA	6.666666667	5	40	NA	0.066666667	1.333333333	5.033333333	1.666666667	NA	NA	NA	5	0	10	3.1	0.02	2	0	0	0	0.02	0	NA	Average	20.5	6.3125	NA
19	NA	west	E1_SIL	E1	SIL	2	2	6	N	120	0	9	4.5	7	7	NA	2.083333333	19	7.3	11.66666667	0.666666667	0.166666667	0.666666667	5.333333333	NA	13.5	4.925	9.166666667	4	0.837333333	16.33333333	NA	6.666666667	0	13.33333333	NA	0.166666667	0.666666667	0.033333333	0.666666667	NA	NA	NA	6	0	10	3.7	0.01	2	0	0	0	0.1	0	NA	Average	16.25	6.1125	NA
20	NA	west	E2_SIL	E2	SIL	2	5	6	N	120	0	9	4.3	7	6	NA	1.766666667	16	6.55	14	0.703333333	1.833333333	3.333333333	2	NA	16	4.7	10.66666667	4.75	0.766	12	NA	16.66666667	1.666666667	56.66666667	NA	0.75	2	5.5	0.3	NA	NA	NA	4	0	9	2.5	0.01	2	0	0	0	0.2	0	NA	Average	16	5.625	NA
21	NA	west	C3_SIL	C3	SIL	2	6	6	N	130	0	9	4	7	7	NA	2.166666667	18	5.3	8.666666667	1.35	2	8.333333333	4	NA	23	4.7	9.5	5.333333333	0.800666667	19.33333333	NA	1.666666667	0	36.66666667	NA	0.533333333	2	5.666666667	2.5	NA	NA	NA	9	0	10	3.9	0.01	2	0	0	0	0.1	0	NA	Average	20.5	5	NA
22	NA	west	C1_SIL	C1	SIL	2	7	6	N	120	1	8	6.7	5	5	NA	1.85	24	6	12.66666667	21.66666667	3	23.33333333	5.333333333	NA	NA	NA	9.166666667	4.5	0.994333333	6	NA	23.33333333	28.33333333	60	NA	2.333333333	2.666666667	24	0.1	NA	NA	NA	0	0	10	1.8	0.2	2	0	0.2	0	0.01	0.01	NA	Average	24	6	NA
23	NA	west	W4_SIL	W4	SIL	2	9	6	N	120	0	9	6.3	4	5	NA	1.933333333	33	8.375	8.333333333	4	2.166666667	3.666666667	7.333333333	NA	NA	6.75	9.666666667	3.5	0.895333333	5.666666667	NA	41.66666667	8.333333333	45	NA	0.5	2	1.333333333	3.5	NA	NA	NA	1	0	8	1.8	0.01	2	0	0.5	0	0	0.2	NA	Average	33	7.5625	NA
24	NA	west	W1_SIL	W1	SIL	2	10	6	N	130	0	9	6.5	6	6	NA	2.5	27.33333333	7.983333333	9	4	3	1.666666667	5.666666667	NA	NA	NA	10.16666667	4.5	0.773333333	5.333333333	NA	20	25	28.33333333	NA	1.666666667	2.333333333	1	3.833333333	NA	NA	NA	0	0	9	0.8	0.02	2	0	0	0	0	0.1	NA	Average	27.33333333	7.983333333	NA
25	NA	west	E3_SIL	E3	SIL	3	4	7	N	130	0	9	4.7	6	6	NA	2.516666667	15.5	6.3	18.33333333	0.7	1.666666667	3.333333333	4.333333333	NA	12	5.5	9.833333333	4	0.807	27	NA	1.666666667	0	13.33333333	NA	0.066666667	1.333333333	4	4.033333333	NA	NA	NA	4	0	10	2.3	0.05	2	0	0	0	0.1	0.01	NA	Average	13.75	5.9	NA
26	NA	west	W4_SIL	W4	SIL	3	7	7	N	130	1	8	5.7	5	6	NA	3.266666667	32	8.275	8.333333333	16.66666667	2.666666667	5.666666667	6	NA	28	5.45	11.75	4.25	0.7685	7.666666667	NA	13.33333333	5	60	NA	3	2.333333333	3.666666667	0.25	NA	NA	NA	2	1	9	1.9	0.1	2	3	0	0	0	0	NA	Average	30	6.8625	NA
27	NA	west	W2_SIL	W2	SIL	3	9	7	N	135	1	8	5.9	6	6	NA	2.883333333	26	7.783333333	8.333333333	5.666666667	2.666666667	1.666666667	4.666666667	NA	NA	NA	10	4.666666667	0.814333333	7	NA	23.33333333	10	36.66666667	NA	1.166666667	2	1.333333333	2.166666667	NA	NA	NA	1	1	10	1.9	0.02	2	0	0.05	0	0	0	NA	Average	26	7.783333333	NA
28	NA	west	E4_SIL	E4	SIL	3	12	7	N	125	0	9	4.7	6	7	NA	2.1	14.66666667	6.283333333	13	0.666666667	2.333333333	7.333333333	2.666666667	NA	NA	NA	9.166666667	4.666666667	0.905333333	14.66666667	NA	8.333333333	0	6.666666667	NA	0.366666667	2	4.666666667	0.5	NA	NA	NA	3	0	10	1.9	0.02	2	0	0	0	0.05	0	NA	Average	14.66666667	6.283333333	NA
29	NA	west	E2_SIL	E2	SIL	3	10	8	S	135	0	9	5.5	7	7	NA	2.316666667	18.66666667	6.166666667	14.33333333	1.003333333	1.666666667	2	2.333333333	NA	NA	NA	9.666666667	3.666666667	0.676333333	18.33333333	NA	6.666666667	0	30	NA	0.366666667	1.333333333	0.666666667	0.366666667	NA	NA	NA	6	0	10	2.9	0.05	2	0.01	0	0	0	0	NA	Average	18.66666667	6.166666667	NA
30	NA	west	C4_SIL	C4	SIL	3	7	8	S	140	0	9	4.5	6	6	NA	2.65	NA	NA	10.33333333	10	2.333333333	30	2	NA	18.66666667	6.116666667	9.833333333	5.333333333	0.848	21.33333333	NA	13.33333333	6.666666667	13.33333333	NA	0.233333333	2	15	0	NA	NA	NA	4	0	10	2.5	0.2	2	0.02	0	0	0	0	NA	Average	18.66666667	6.116666667	NA
31	NA	west	W1_SIL	W1	SIL	3	5	8	S	140	2	6	5.5	4	5	NA	2.433333333	25.66666667	8.733333333	12	10.01666667	2.666666667	8.333333333	5	NA	NA	NA	8.666666667	3.833333333	0.800666667	7	NA	30	5	53.33333333	NA	2.333333333	1.333333333	6.666666667	15.66666667	NA	NA	NA	1	0	7	1.7	0.2	2	0	0.02	0	0	0.05	NA	Average	25.66666667	8.733333333	NA
32	NA	west	E1_SIL	E1	SIL	3	3	8	S	135	0	9	5.9	7	7	NA	1.933333333	NA	NA	18.33333333	0.166666667	0.666666667	0.666666667	2.666666667	NA	13	4.55	9.166666667	4.5	0.728333333	9.666666667	NA	1.666666667	0	33.33333333	NA	0.166666667	0.666666667	0.666666667	0.333333333	NA	NA	NA	6	0	10	2.9	0.02	2	0	0	0	0	0	NA	Average	13	4.55	NA
33	NA	west	C3_SIL	C3	SIL	3	2	9	N	140	0	9	4	7	7	NA	2.433333333	NA	NA	11.66666667	1.003333333	1.5	8.666666667	2	NA	19.66666667	6.35	9.5	4.5	0.893333333	22	NA	1.666666667	10	20	NA	0.503333333	1.666666667	10.16666667	0.366666667	NA	NA	NA	5	0	10	2.5	0.01	2	0	0	0	0	0	NA	Average	19.66666667	6.35	NA
34	NA	west	C1_SIL	C1	SIL	3	3	9	N	130	0	8	6.3	4	6	NA	1.616666667	25	7.15	11.66666667	23.33333333	2.666666667	25	2.333333333	NA	NA	NA	8.5	4	0.862	2.333333333	NA	25	5	78.33333333	NA	2.666666667	3	16.66666667	0.833333333	NA	NA	NA	1	0	10	1.9	0.2	2	0	0.02	0	0	0	NA	Average	25	7.15	NA
35	NA	west	C2_SIL	C2	SIL	3	7	9	N	150	1	8	4	8	8	NA	2.516666667	NA	NA	8.333333333	5.333333333	0.833333333	7.333333333	1	NA	22.66666667	5.15	9.666666667	5.833333333	0.904	23	NA	5	0	13.33333333	NA	0.7	1	3.666666667	5.2	NA	NA	NA	4	0	10	3.1	1	2	0.01	0	0	0	0	NA	Average	22.66666667	5.15	NA
36	NA	west	W3_SIL	W3	SIL	3	10	9	N	135	0	9	6.1	5	6	NA	2.1	28.66666667	9.283333333	12.33333333	4.033333333	2.333333333	2.166666667	6.666666667	NA	NA	NA	9.666666667	3.5	0.743	6.666666667	NA	16.66666667	33.33333333	55	NA	1	2	1.333333333	5.166666667	NA	NA	NA	3	0	6	2.3	0.02	2	0.05	0.5	0.2	0.1	0.1	NA	Average	28.66666667	9.283333333	NA
37	NA	west	W4_SIL	W4	SIL	4	1	10	N	130	0	9	6	6	5	NA	2.166666667	35	7.75	10	3	2.333333333	2.333333333	4.333333333	NA	29	7.35	9.333333333	3.166666667	0.680333333	4.333333333	NA	10	0	60	NA	1	2	2.666666667	0.733333333	NA	NA	NA	2	0	7	1.7	0.05	2	0	0.01	0	0	0	NA	Average	32	7.55	NA
38	NA	west	C2_SIL	C2	SIL	4	11	11	S	145	0	9	4.7	8	7	NA	2.983333333	22.5	6.8	14.66666667	0.083333333	1.666666667	0.533333333	1.666666667	NA	NA	NA	11.66666667	7.5	0.848666667	21.33333333	NA	5	0	11.66666667	NA	0.066666667	1	0.2	0.733333333	NA	NA	NA	3	0	9	1.9	0.05	2	0	0	0	0	0	NA	Average	22.5	6.8	NA
39	NA	west	C3_SIL	C3	SIL	4	9	11	S	150	0	9	4.5	8	7	NA	3.083333333	17	6.7	11	0.203333333	1.666666667	0.7	4.666666667	NA	25.5	5.75	12.5	6.333333333	0.826	31.66666667	NA	5	6.666666667	6.666666667	NA	0.1	2	1.5	0.4	NA	NA	NA	8	0	10	2.7	0.01	2	0	0	0	0	0	NA	Average	21.25	6.225	NA
40	NA	west	C4_SIL	C4	SIL	4	7	11	S	130	0	9	4.5	5	6	NA	2.366666667	27	6.55	6.666666667	4	2	23.33333333	2.333333333	NA	20	5.25	10.25	5	0.733	8	NA	0	5	17.5	NA	0.5	2	35	7.5	NA	NA	NA	5	0	10	3.7	1	2	0.01	0.01	0	0	0.05	NA	Average	23.5	5.9	NA
41	NA	west	W3_SIL	W3	SIL	4	5	11	S	130	0	9	5.7	5	5	NA	2.95	27.33333333	8.65	9.333333333	8.333333333	2.666666667	4	7.333333333	NA	NA	NA	9.833333333	4.5	0.648333333	8.333333333	NA	33.33333333	26.66666667	50	NA	4.166666667	2.333333333	11.66666667	5.166666667	NA	NA	NA	2	0	5	1.5	1	2	0	2	0	0	0.05	NA	Average	27.33333333	8.65	NA
42	NA	west	W2_SIL	W2	SIL	4	4	11	S	120	0	9	5	5	5	NA	2.25	27.5	7.875	5.333333333	11.66666667	2.666666667	4	5.333333333	NA	NA	NA	9.666666667	3.666666667	0.947	4.666666667	NA	56.66666667	3.333333333	76.66666667	NA	3	2.333333333	3.666666667	11.66666667	NA	NA	NA	0	0	5	1.5	0	0	0	1	0	0	0.1	NA	Average	27.5	7.875	NA
43	NA	west	E3_SIL	E3	SIL	4	2	11	S	125	0	9	5.3	7	6	NA	1.983333333	NA	NA	17.33333333	0.183333333	1.333333333	2.333333333	6.333333333	NA	17	4.575	8.166666667	2.666666667	0.663	13.66666667	NA	0	0	31.66666667	NA	0.366666667	1.333333333	2	0.833333333	NA	NA	NA	7	0	10	3.3	0	0	0	0	0	0.1	0	NA	Average	17	4.575	NA
44	NA	west	E4_SIL	E4	SIL	4	2	12	N	115	0	9	4.7	5	6	NA	1.75	NA	NA	13.66666667	1	2	26.66666667	4.333333333	NA	17	4.316666667	8.333333333	3.333333333	0.865666667	12	NA	5	0	31.66666667	NA	1.333333333	2	21.66666667	0.033333333	NA	NA	NA	1	0	10	1.9	0.5	2	0	0	0	0	0	NA	Average	17	4.316666667	NA
45	NA	west	E1_SIL	E1	SIL	4	3	12	N	125	0	9	5.7	6	6	NA	1.966666667	18.5	6.85	20.66666667	0.333333333	0.666666667	0.333333333	3.666666667	NA	13	5.6	9.666666667	4.166666667	0.664	20.66666667	NA	10	0	20	NA	0.333333333	0.666666667	0.666666667	5.366666667	NA	NA	NA	5	0	10	2.1	0.01	2	0	0	0	0	0	NA	Average	15.75	6.225	NA
46	NA	west	C1_SIL	C1	SIL	4	4	12	N	130	2	7	6.5	4	4	NA	2.166666667	35	8.175	13.66666667	5.666666667	2.333333333	20.33333333	5.666666667	NA	NA	NA	8.75	5.75	0.646	6.666666667	NA	35	15	50	NA	5	2.5	2	5	NA	NA	NA	0	1	7	1.7	0.02	2	0	2	0	0	0	NA	Average	35	8.175	NA
47	NA	west	W1_SIL	W1	SIL	4	6	12	N	135	0	9	6.5	6	5	NA	2.233333333	NA	NA	6	5	2.666666667	3.366666667	7.666666667	NA	20	5.45	10.33333333	3.833333333	0.770333333	2.666666667	NA	76.66666667	16.66666667	80	NA	1.333333333	2	2.666666667	6.666666667	NA	NA	NA	1	0	5	1.5	1	2	0	1	0	0	0.5	NA	Average	20	5.45	NA
48	NA	west	E2_SIL	E2	SIL	4	7	12	N	115	0	9	4.5	6	6	NA	1.633333333	20	NA	12.33333333	6.333333333	2.333333333	15.66666667	1.333333333	NA	14.33333333	6.766666667	11.33333333	5.5	0.696	9.666666667	NA	11.66666667	0	33.33333333	NA	1.5	2.333333333	15.33333333	0.866666667	NA	NA	NA	6	0	10	2.3	0.05	2	0	0	0	0	0	NA	Average	17.16666667	6.766666667	NA
49	NA	west	W1_SIL	W1	SIL	5	1	13	N	120	0	9	5.5	5	4	NA	2.23	25.5	8.825	11.33333333	4	2.333333333	15	5.333333333	NA	NA	6.05	7.75	4.5	0.749333333	4.666666667	NA	43.33333333	3.333333333	63.33333333	NA	3	2	21.66666667	1.166666667	NA	NA	NA	0	0	9	1.9	0.02	2	0	0	0	0	0.01	NA	Average	25.5	7.4375	NA
50	NA	west	C4_SIL	C4	SIL	5	2	13	N	130	1	8	4.3	6	5	NA	2.6	21	7.225	14.66666667	1.666666667	2	18.33333333	1.333333333	NA	23	5.35	NA	NA	0.898333333	8.333333333	NA	3.333333333	5	43.33333333	NA	0.666666667	2	20	0.166666667	NA	mid.pointleavesalllost	mid.pointleavesalllost	3	0	10	2.1	0.1	2	0	0	0	0	0	NA	Average	22	6.2875	NA
51	NA	west	W3_SIL	W3	SIL	5	6	13	N	130	0	8	6	5	5	NA	2.133333333	29	7.75	9.666666667	4.666666667	2.666666667	7	7.666666667	NA	NA	NA	10.33333333	3.5	0.669666667	5.666666667	NA	20	5	53.33333333	NA	1.166666667	2	4.333333333	5.666666667	NA	NA	NA	0	0	7	1.5	0.1	2	0	0	0	0	0	NA	Average	29	7.75	NA
52	NA	west	C3_SIL	C3	SIL	5	9	13	N	145	0	9	4.5	8	7	NA	2.4	18	7.25	12.33333333	0.383333333	2	8.333333333	3.333333333	NA	15.5	4.975	11.33333333	5	0.755	16.66666667	NA	6.666666667	0	15	NA	0.333333333	1.333333333	12	3.666666667	NA	NA	NA	7	0	10	2.5	0.1	2	0	0	0	0.2	0	NA	Average	16.75	6.1125	NA
53	NA	west	C2_SIL	C2	SIL	5	11	13	N	140	0	9	4.3	7	7	NA	2.7	23	7.15	7.333333333	2.166666667	2.333333333	30	0.333333333	NA	26	6.375	12.66666667	7.5	0.819	22	NA	11.66666667	0	8.333333333	NA	0.866666667	3	15.66666667	0.333333333	NA	NA	NA	4	0	10	3.1	1	2	0	0	0	0	0	NA	Average	24.5	6.7625	NA
54	NA	west	E4_SIL	E4	SIL	5	12	13	N	130	0	9	5	8	7	NA	1.883333333	17	6.475	12.33333333	0	0	0.166666667	1.333333333	NA	17	6.2	10.16666667	4.666666667	0.628666667	26.33333333	NA	5	0	5	NA	0	0	0.033333333	5.033333333	NA	NA	NA	3	0	7	2	0	0	0	0	0	1	0	NA	Average	17	6.3375	NA
55	NA	west	W4_SIL	W4	SIL	5	12	14	S	135	0	9	5.7	6	6	NA	1.783333333	28.5	8.05	6.666666667	4	2.666666667	4.166666667	5	NA	NA	NA	8.5	4	0.669	4	NA	13.33333333	5	58.33333333	NA	3.5	2.333333333	2.5	11.83333333	NA	NA	NA	1	0	7	1.8	0.01	2	0	0	0	0	0	NA	Average	28.5	8.05	NA
56	NA	west	C1_SIL	C1	SIL	5	10	14	S	110	2	7	6	3	4	NA	1.483333333	25	6.2	9.666666667	18.33333333	2.666666667	35	3	NA	26	6.35	9	4	0.841666667	2.333333333	NA	33.33333333	0	75	NA	4	2	25	1	NA	NA	NA	0	2	9	1.9	0.5	2	0	0	0	0	0	NA	Average	25.5	6.275	NA
57	NA	west	E2_SIL	E2	SIL	5	8	14	S	120	0	9	4.7	6	6	NA	1.8	14	6.2	14.66666667	1	2	7.333333333	3	NA	15	6.9	11.25	4.5	0.703333333	16.66666667	NA	6.666666667	0	30	NA	0.833333333	2	10.66666667	2.333333333	NA	NA	NA	5	0	10	2.7	0.02	2	0	0	0	0.05	0	NA	Average	14.5	6.55	NA
58	NA	west	E3_SIL	E3	SIL	5	2	15	N	125	0	9	5	6	5	NA	1.783333333	14.5	6.85	14	0.2	1.333333333	0.033333333	3.333333333	NA	15	5.3	10.16666667	4.666666667	0.69	19.66666667	NA	15	0	30	NA	0.333333333	1.333333333	0.333333333	10	NA	NA	NA	3	0	10	1.9	0	0	0	0	0	0	0	NA	Average	14.75	6.075	NA
59	NA	west	E1_SIL	E1	SIL	5	7	15	N	130	0	9	5.9	6	6	NA	2.2	19.66666667	6.766666667	13.33333333	0.333333333	1.333333333	0.333333333	5	NA	NA	NA	10	4.5	0.632333333	25.33333333	NA	3.333333333	0	6.666666667	NA	0.333333333	1.333333333	0.666666667	16.66666667	NA	NA	NA	7	0	10	3.7	0	0	0	0	0	0	0	NA	Average	19.66666667	6.766666667	NA
60	NA	west	W2_SIL	W2	SIL	5	12	15	N	105	1	8	5.5	3	4	NA	1.833333333	NA	NA	3.333333333	5.666666667	2.333333333	18.33333333	5	NA	19.33333333	5.5	9.5	3	0.7475	2.333333333	NA	20	0	66.66666667	NA	2.333333333	2	16.66666667	28.33333333	NA	NA	NA	0	0	5	1.5	0.02	2	0	0	0	0	0	NA	Average	19.33333333	5.5	NA
61	NA	central	W3_SIL	W3	SIL	1	2	1	S	90	1	8	6	3	3	NA	2.05	24.33333333	7.6	3.666666667	0	0	0	1	NA	NA	NA	9.333333333	4.666666667	0.855	8.333333333	NA	40	1.666666667	5	NA	0	0	0	38.33333333	NA	NA	NA	0	1	4	1.4	0	0	0	0.1	0	0	0	NA	Average	24.33333333	7.6	NA
62	NA	central	W4_SIL	W4	SIL	1	9	1	S	125	0	9	5.5	5	5	NA	2.466666667	37.33333333	9.65	3.666666667	0	0	0	2	NA	NA	9.05	8.5	3.666666667	0.797333333	10.33333333	NA	30	3.333333333	3.333333333	NA	0	0	0	36.66666667	NA	NA	NA	0	0	4	1.4	0	0	0	0	0	0	0	NA	Average	37.33333333	9.35	NA
