allsilph_order	original_order	Location	plot_id	source_prairie	species	rep	row	column	directionheading	height_JUL_2020	mortality_JUL_2020	no_bolting_JUL_2020	grwth_stg_JUL_2020	vigor_JUL_2020	vigor_AUG_2020	random_num_2020	stem_dia_mm_JUL_2020	max_lig_JUL_2020	disc_dia_JUL_2020	num_stems_JUL_2020	pssev_JUL_2020	PSLERES_JUL_2020	STEMPS_JUL_2020	CLV_JUL_2020	notes_JUL_2020	maxlig_AUG_2020	disc_dia_AUG_2020	lf_lgth_AUG_2020	lf_width_AUG_2020	lf_thcknss_AUG_2020	num_flwrs_single_stlk_AUG_2020	stem_herb_2020	Floral_herb_AUG_2020	GALLWASP_AUG_2020	leaf_herb_AUG_2020	herb_other_AUG_2020	pssev_AUG_2020	PSLERES_AUG_2020	STEMPS_AUG_2020	lf_blotch_AUG_2020	dis_other_AUG_2020	Notes_AUG_2020	Notes_AUG	bolting_SEPT_2019	mortality_SEPT_2019	vigor_SEPT_2019	growth_stage_SEPT_2019	PSLESEV_SEPT_2019	PSLERES_SEPT_2019	PSSTSEV_SEPT_2019	BLLEBLSEV_SEPT_2019	PHSTSEV_SEPT_2019	CLVESEV_SEPT_2019	DM_SEPT_2019	notes_SEPT_2019
11	14	west	W4_SIL	W4	SIL	1	7	1	N	NA	NA	NA	NA	NA	NA	5	3.5	35	11.3	9	5	3	5	6	NA	NA	NA	10.5	4.5	0.841	8	0	20	10	20	0	1	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	15	west	W4_SIL	W4	SIL	1	7	1	N	NA	NA	NA	NA	NA	NA	8	3.3	28	7.2	7	5	3	0.5	3	NA	NA	NA	9	4	0.705	3	0	60	30	60	AMA	1	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	16	west	W3_SIL	W3	SIL	1	8	1	N	115	0	9	6	6	5	3	2.55	24	8.4	9	2	2	5	9	NA	NA	NA	8.5	3	0.82	3	1	10	0	30	0	0.5	2	5	0	NA	NA	NA	0	0	8	1.8	0.01	2	0	0	0	0	0.05	NA
14	17	west	W3_SIL	W3	SIL	1	8	1	N	NA	NA	NA	NA	NA	NA	4	2.25	33	7	11	1	3	5	8	NA	NA	NA	8	2	0.852	1	0	20	0	50	0	1	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	18	west	W3_SIL	W3	SIL	1	8	1	N	NA	NA	NA	NA	NA	NA	6	3.1	30	8.2	13	2	2	5	9	NA	NA	NA	10	3.5	0.815	9	0	30	10	60	0	1	2	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	22	west	W2_SIL	W2	SIL	1	12	1	N	115	0	9	5.7	4	4	5	2.7	36	8.5	6	2	3	1	8	NA	NA	NA	7	4	0.934	1	0	10	0	30	0	1	2	0.5	0.5	NA	NA	NA	0	0	8	1.7	0.01	2	0	0.05	0	0	0.05	NA
17	23	west	W2_SIL	W2	SIL	1	12	1	N	NA	NA	NA	NA	NA	NA	7	2.3	30	6.55	8	0.5	3	1	8	NA	NA	NA	NA	NA	NA	4	0	5	10	20	0	0.1	2	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	24	west	W2_SIL	W2	SIL	1	12	1	N	NA	NA	NA	NA	NA	NA	8	2.8	30	7.7	9	1	3	5	8	NA	NA	NA	10	3.5	0.919	3	0	30	0	10	AMA	0.5	2	5	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	26	west	E4_SIL	E4	SIL	1	11	2	S	110	0	9	3.7	7	6	2	2.45	NA	NA	21	0.5	2	5	5	NA	15	4.8	9	3.5	0.953	7	0	5	0	20	0	1	0.1	5	0	NA	NA	NA	2	0	10	1.9	0.2	2	0	0	0	0.01	0.1	NA
20	27	west	E4_SIL	E4	SIL	1	11	2	S	NA	NA	NA	NA	NA	NA	4	2.45	NA	NA	15	0.5	3	2	1	NA	12	5.1	9.5	6	0.947	42	0	10	0	10	0	1	2	0.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	28	west	E4_SIL	E4	SIL	1	11	2	S	NA	NA	NA	NA	NA	NA	6	2.85	NA	NA	15	5	3	10	2	NA	15	6.2	8	4	0.817	14	0	0	0	20	0	1	3	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	29	west	C3_SIL	C3	SIL	1	10	2	S	125	0	9	3.7	8	7	2	3.25	NA	NA	9	0.5	3	5	5	NA	25	5.3	12	6	0.932	22	2	10	0	20	0	1	2	5	0	NA	NA	NA	7	0	10	3.3	0.05	2	0	0	0	0	0.01	maybe_some_individuals_hybrid_with_perfoliatum
23	30	west	C3_SIL	C3	SIL	1	10	2	S	NA	NA	NA	NA	NA	NA	4	2.9	NA	NA	4	0.01	1	0.5	3	NA	NA	NA	7	5	0.808	0	0	NA	0	80	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	31	west	C3_SIL	C3	SIL	1	10	2	S	NA	NA	NA	NA	NA	NA	7	2.25	NA	NA	11	0.5	2	5	2	NA	21	5	11.5	5.5	0.941	27	0	20	0	20	0	0.1	2	15	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	41	west	C1_SIL	C1	SIL	1	1	3	N	125	0	9	6.5	6	6	1	3.1	27	8.6	12	2	3	10	5	NA	NA	NA	8.5	5	0.921	7	0	0	20	10	NA	1	2	10	0	NA	NA	NA	0	0	10	1.9	0.2	1	0	0	0	0	1	response_.5_and_2
26	42	west	C1_SIL	C1	SIL	1	1	3	N	NA	NA	NA	NA	NA	NA	2	2.8	32	9.25	15	5	2	2	5	NA	NA	NA	6.5	4	0.889	7	1	10	20	20	NA	1	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	43	west	C1_SIL	C1	SIL	1	1	3	N	NA	NA	NA	NA	NA	NA	8	2.95	29	9.15	15	1	2	2	6	NA	NA	NA	8.5	3.5	0.784	5	0	5	5	20	NA	1	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	51	west	C4_SIL	C4	SIL	1	9	3	N	125	0	9	5.5	7	6	3	3.25	20	6.3	10	1	2	20	3	NA	NA	NA	12.5	5	0.955	25	0	5	30	30	NA	0.5	2	20	0	NA	nolowerleaves	nolowerleaves	2	0	10	2.3	0.5	2	0.01	0	0	0	0	some_have_hyper_sensitive_responce.
29	52	west	C4_SIL	C4	SIL	1	9	3	N	NA	NA	NA	NA	NA	NA	4	3.1	24	7.85	13	10	2	20	3	NA	NA	NA	7.5	5	0.968	22	3	5	0	40	ama	0.5	2	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	53	west	C4_SIL	C4	SIL	1	9	3	N	NA	NA	NA	NA	NA	NA	8	3.95	18	6.65	12	2	3	5	1	NA	NA	NA	14	8	0.89	24	NA	10	0	30	NA	0.5	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	54	west	E2_SIL	E2	SIL	1	10	3	N	120	0	9	4.5	8	6	2	3	NA	NA	12	1	2	1	1	NA	15	5.6	10	4.5	0.673	19	NA	0	0	10	NA	0.5	2	2	0.01	NA	NA	NA	4	0	10	2.1	0.02	2	0.01	0	0	0.02	0	NA
32	55	west	E2_SIL	E2	SIL	1	10	3	N	NA	NA	NA	NA	NA	NA	5	3.5	NA	NA	15	0	0	0.5	2	NA	14	5.3	6.5	3.5	0.751	13	NA	0	0	10	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	56	west	E2_SIL	E2	SIL	1	10	3	N	NA	NA	NA	NA	NA	NA	9	3.25	NA	NA	14	0	0	0	4	NA	22	6.05	9	5	0.878	31	NA	0	0	5	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	57	west	E1_SIL	E1	SIL	1	11	3	N	110	0	9	4.6	7	7	3	2.95	NA	NA	23	0	0	0	2	NA	15	5.3	10	4	0.797	21	NA	5	0	30	NA	0	0	0	0.01	NA	NA	NA	7	0	10	3.1	0	0	0	0	0	0.02	0.01	NA
35	58	west	E1_SIL	E1	SIL	1	11	3	N	NA	NA	NA	NA	NA	NA	7	3.3	NA	NA	11	0	0	0	1	NA	15	5.95	10.5	5.5	0.797	11	NA	0	0	10	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
36	59	west	E1_SIL	E1	SIL	1	11	3	N	NA	NA	NA	NA	NA	NA	8	3.95	20	7.2	7	0.1	2	0.5	4	NA	NA	NA	8	4	0.774	30	NA	0	0	5	ama	0	0	0	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	71	west	E3_SIL	E3	SIL	2	11	4	N	115	0	9	4.9	6	6	3	2.25	NA	NA	9	0	0	0	5	NA	13	5.9	8.5	3.5	0.961	38	NA	5	0	10	NA	0	0	0	0	NA	NA	NA	5	0	9	3.5	0.01	2	0	0	0	0.02	0.02	NA
38	72	west	E3_SIL	E3	SIL	2	11	4	N	NA	NA	NA	NA	NA	NA	5	1.2	15	NA	5	0.1	2	0	4	NA	15	4.65	7.5	3.5	0.762	4	NA	0	0	60	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	73	west	E3_SIL	E3	SIL	2	11	4	N	NA	NA	NA	NA	NA	NA	7	0.65	12	6.25	14	0.1	2	0.1	3	NA	NA	NA	8	3	0.852	23	NA	5	0	10	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
40	77	west	W3_SIL	W3	SIL	2	10	5	S	115	0	9	6.5	4	5	2	1.85	29	6.6	14	1	2	10	5	NA	NA	NA	9	3.5	0.867	3	NA	20	0	30	NA	1	2	2	0.5	NA	NA	NA	2	0	10	2.1	0.02	2	0	0	0	0	0.02	NA
41	78	west	W3_SIL	W3	SIL	2	10	5	S	NA	NA	NA	NA	NA	NA	3	1.6	21	4.6	8	5	2	5	8	NA	NA	NA	8	3	0.861	4	NA	40	0	20	NA	0.5	2	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	79	west	W3_SIL	W3	SIL	2	10	5	S	NA	NA	NA	NA	NA	NA	8	1.85	21	6.3	7	2	3	2	7	NA	NA	NA	10.5	4	0.902	8	NA	20	10	20	NA	0.5	2	1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	81	west	C4_SIL	C4	SIL	2	8	5	S	130	0	9	5.2	6	6	6	1.4	22	7.05	10	5	3	15	1	NA	NA	NA	10	4.5	0.756	21	NA	0	0	20	NA	1	2	15	0	NA	NA	NA	2	0	10	2	0.2	2	0	0	0	0	0	NA
44	82	west	C4_SIL	C4	SIL	2	8	5	S	NA	NA	NA	NA	NA	NA	7	1.9	NA	NA	11	1	2	10	7	NA	19	6.05	8.5	4	0.894	28	NA	10	0	10	NA	0.1	2	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	83	west	C4_SIL	C4	SIL	2	8	5	S	NA	NA	NA	NA	NA	NA	8	2.5	16	6.3	8	2	2	20	3	NA	NA	NA	9	6	0.69	18	NA	20	0	30	NA	0.5	2	25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	85	west	E4_SIL	E4	SIL	2	6	5	S	110	1	8	4.5	5	5	2	1.5	NA	NA	22	10	3	5	4	NA	14	5.45	9.5	4	0.813	8	NA	20	0	30	NA	2	2	20	0	NA	NA	NA	1	1	10	1.9	0.01	2	0	0	0	0.01	0.02	NA
47	86	west	E4_SIL	E4	SIL	2	6	5	S	NA	NA	NA	NA	NA	NA	4	1.2	NA	NA	11	1	3	2	5	NA	14	5.55	9.5	3	0.904	8	NA	10	0	30	NA	2	2	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	87	west	E4_SIL	E4	SIL	2	6	5	S	NA	NA	NA	NA	NA	NA	5	1.5	12	6.2	12	10	3	25	7	NA	NA	NA	8	3.5	1.028	7	NA	30	0	60	NA	1	3	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	90	west	W2_SIL	W2	SIL	2	3	5	S	125	0	9	7	6	6	1	2	33	8.8	10	5	3	2	8	NA	NA	NA	10.5	4	0.885	8	NA	30	10	40	NA	0.5	2	2	1	NA	NA	NA	1	0	9	1.9	0.02	2	0	0.01	0	0	0	NA
50	91	west	W2_SIL	W2	SIL	2	3	5	S	NA	NA	NA	NA	NA	NA	6	1.7	31	8.55	5	10	3	2	5	NA	NA	NA	8	3.5	0.928	4	NA	30	0	60	NA	1	3	5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	92	west	W2_SIL	W2	SIL	2	3	5	S	NA	NA	NA	NA	NA	NA	7	2.6	44	7.2	11	10	4	5	8	NA	NA	NA	7	4	0.87	7	NA	20	20	60	NA	5	3	2	0.1	NA	askiftheseplantsweresprayed	askiftheseplantsweresprayed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	95	west	C2_SIL	C2	SIL	2	1	6	N	135	0	9	4.7	8	7	2	2.9	18	6.4	5	2	2	0.5	0	NA	NA	NA	7.5	5.5	0.943	11	NA	10	0	40	NA	0.1	2	0.1	0	NA	NA	NA	5	0	10	3.1	0.02	2	0	0	0	0.02	0	NA
53	96	west	C2_SIL	C2	SIL	2	1	6	N	NA	NA	NA	NA	NA	NA	4	2.6	NA	NA	9	1	2	15	0	NA	23	6.2	11.5	6	0.868	20	NA	10	15	50	NA	0.1	2	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	97	west	C2_SIL	C2	SIL	2	1	6	N	NA	NA	NA	NA	NA	NA	5	2.95	18	6.45	12	0.1	2	0.1	5	NA	NA	NA	9.5	4.5	0.842	11	NA	0	0	30	NA	0	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	98	west	E1_SIL	E1	SIL	2	2	6	N	120	0	9	4.5	7	7	3	2.2	NA	NA	13	0	0	0	5	NA	14	4.85	9	5	0.918	6	NA	10	0	5	NA	0	0	0	0.5	NA	NA	NA	6	0	10	3.7	0.01	2	0	0	0	0.1	0	NA
56	99	west	E1_SIL	E1	SIL	2	2	6	N	NA	NA	NA	NA	NA	NA	8	1.65	NA	NA	13	2	0.5	2	5	NA	13	5	11	3.5	0.74	16	NA	0	0	5	NA	0.5	2	0.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	100	west	E1_SIL	E1	SIL	2	2	6	N	NA	NA	NA	NA	NA	NA	9	2.4	19	7.3	9	0	0	0	6	NA	NA	NA	7.5	3.5	0.854	27	NA	10	0	30	NA	0	0	0	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	103	west	E2_SIL	E2	SIL	2	5	6	N	120	0	9	4.3	7	6	1	2	NA	NA	17	2	3	5	4	NA	18	4.7	8.5	4.5	0.884	21	NA	0	5	30	NA	1	2	10	0.5	NA	NA	NA	4	0	9	2.5	0.01	2	0	0	0	0.2	0	NA
59	104	west	E2_SIL	E2	SIL	2	5	6	N	NA	NA	NA	NA	NA	NA	7	1.75	16	6.55	16	0.1	2	5	1	NA	NA	NA	10.5	5	0.85	14	NA	20	0	40	NA	0.5	2	1	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	105	west	E2_SIL	E2	SIL	2	5	6	N	NA	NA	NA	NA	NA	NA	8	1.55	NA	NA	9	0.01	0.5	0	1	perfoliatum-esq?recenthybrid?	14	NA	13	NA	0.564	1	NA	30	0	100	NA	na	na	na	na	NA	defoliated	defoliated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	106	west	C3_SIL	C3	SIL	2	6	6	N	130	0	9	4	7	7	2	2.35	18	5.3	8	1	2	5	5	NA	NA	NA	12	6.5	0.599	27	NA	5	0	40	NA	0.5	2	2	5	NA	NA	NA	9	0	10	3.9	0.01	2	0	0	0	0.1	0	NA
62	107	west	C3_SIL	C3	SIL	2	6	6	N	NA	NA	NA	NA	NA	NA	5	2.55	NA	NA	7	0.05	2	10	4	NA	25	4.55	9	6	0.943	20	NA	0	0	20	NA	0.1	2	10	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	108	west	C3_SIL	C3	SIL	2	6	6	N	NA	NA	NA	NA	NA	NA	6	1.6	NA	NA	11	3	2	10	3	NA	21	4.85	7.5	3.5	0.86	11	NA	0	0	50	NA	1	2	5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	109	west	C1_SIL	C1	SIL	2	7	6	N	120	1	8	6.7	5	5	2	1.65	21	4.5	11	30	4	25	7	"eucosmainfested,becausemature??"	NA	NA	7	4	0.953	5	NA	40	30	70	NA	1	2	30	0.1	NA	NA	NA	0	0	10	1.8	0.2	2	0	0.2	0	0.01	0.01	NA
65	110	west	C1_SIL	C1	SIL	2	7	6	N	NA	NA	NA	NA	NA	NA	4	2.15	33	7.25	12	25	2	30	4	NA	NA	NA	10	5.5	1.145	9	NA	10	40	50	NA	1	3	40	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	111	west	C1_SIL	C1	SIL	2	7	6	N	NA	NA	NA	NA	NA	NA	7	1.75	18	6.25	15	10	3	15	5	NA	NA	NA	10.5	4	0.885	4	NA	20	15	60	NA	5	3	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	113	west	W4_SIL	W4	SIL	2	9	6	N	120	0	9	6.3	4	5	3	1.75	NA	NA	7	5	0.5	5	7	NA	NA	6.75	6	3	0.931	5	NA	80	0	30	NA	0.5	2	2	0	NA	NA	NA	1	0	8	1.8	0.01	2	0	0.5	0	0	0.2	NA
68	114	west	W4_SIL	W4	SIL	2	9	6	N	NA	NA	NA	NA	NA	NA	5	2.5	31	8.55	9	2	3	1	7	NA	NA	NA	12.5	4.5	0.944	7	NA	10	5	30	NA	0.5	2	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
69	115	west	W4_SIL	W4	SIL	2	9	6	N	NA	NA	NA	NA	NA	NA	6	1.55	35	8.2	9	5	3	5	8	NA	NA	NA	10.5	3	0.811	5	NA	35	20	75	NA	0.5	2	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
70	116	west	W1_SIL	W1	SIL	2	10	6	N	130	0	9	6.5	6	6	2	2.75	31	9	11	10	4	2	8	NA	NA	NA	10.5	5	0.754	6	NA	20	50	50	NA	2	3	1	0.5	NA	NA	NA	0	0	9	0.8	0.02	2	0	0	0	0	0.1	NA
71	117	west	W1_SIL	W1	SIL	2	10	6	N	NA	NA	NA	NA	NA	NA	5	2.85	21	6.7	10	1	2	1	5	NA	NA	NA	10.5	4	0.751	3	NA	10	5	25	NA	2	2	1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	118	west	W1_SIL	W1	SIL	2	10	6	N	NA	NA	NA	NA	NA	NA	9	1.9	30	8.25	6	1	3	2	4	NA	NA	NA	9.5	4.5	0.815	7	NA	30	20	10	NA	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
73	124	west	E3_SIL	E3	SIL	3	4	7	N	130	0	9	4.7	6	6	4	2.15	NA	NA	17	0.1	2	5	3	NA	12	5.5	8.5	3.5	0.754	21	NA	0	0	5	NA	0.1	2	10	2	NA	NA	NA	4	0	10	2.3	0.05	2	0	0	0	0.1	0.01	NA
74	125	west	E3_SIL	E3	SIL	3	4	7	N	NA	NA	NA	NA	NA	NA	6	2.95	15	7.1	17	2	3	5	4	NA	NA	NA	11.5	3.5	0.812	19	NA	5	0	30	NA	0.1	2	2	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	126	west	E3_SIL	E3	SIL	3	4	7	N	NA	NA	NA	NA	NA	NA	8	2.45	16	5.5	21	0	0	0	6	NA	NA	NA	9.5	5	0.855	41	NA	0	0	5	NA	0	0	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
76	129	west	W4_SIL	W4	SIL	3	7	7	N	130	1	8	5.7	5	6	6	2.5	NA	8.1	5	15	2	2	6	NA	28	NA	10	3	0.716	5	NA	10	5	80	ama	1	2	1	0	NA	NA	NA	2	1	9	1.9	0.1	2	3	0	0	0	0	NA
77	130	west	W4_SIL	W4	SIL	3	7	7	N	NA	NA	NA	NA	NA	NA	7	4.7	33	8.45	8	20	3	5	7	NA	NA	NA	NA	NA	NA	10	NA	10	0	40	ama	na	2	5	na	NA	"noleaves,stalkdied.andmaybehumandefoliation?"	"noleaves,stalkdied.andmaybehumandefoliation?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
78	131	west	W4_SIL	W4	SIL	3	7	7	N	NA	NA	NA	NA	NA	NA	9	2.6	31	NA	12	15	3	10	5	NA	NA	5.45	13.5	5.5	0.821	8	NA	20	10	60	ama	5	3	5	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	133	west	W2_SIL	W2	SIL	3	9	7	N	135	1	8	5.9	6	6	4	2.9	26	7.15	9	2	3	1	3	NA	NA	NA	10.5	5	0.761	11	NA	10	10	30	NA	0.5	2	1	1	NA	NA	NA	1	1	10	1.9	0.02	2	0	0.05	0	0	0	NA
80	134	west	W2_SIL	W2	SIL	3	9	7	N	NA	NA	NA	NA	NA	NA	5	2.65	28	8.1	9	10	3	2	5	NA	NA	NA	11	5	0.75	3	NA	20	0	60	NA	2	2	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
81	135	west	W2_SIL	W2	SIL	3	9	7	N	NA	NA	NA	NA	NA	NA	6	3.1	24	8.1	7	5	2	2	6	NA	NA	NA	8.5	4	0.932	7	NA	40	20	20	NA	1	2	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
82	138	west	E4_SIL	E4	SIL	3	12	7	N	125	0	9	4.7	6	7	2	2.15	14	5	9	1	2	15	1	NA	NA	NA	8	4.5	1.11	13	NA	20	0	5	NA	0.5	2	10	0	NA	NA	NA	3	0	10	1.9	0.02	2	0	0	0	0.05	0	NA
